Task_ID,Machine_ID,Network_Slice_ID,Task_Type,Execution_Time,Machine_Status,Reallocation,Latency_ms,Sensor_Temp_C,URLLC_Score,Target
T0038,M05,NS_1,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0039,M01,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0040,M02,NS_2,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,0
T0041,M04,NS_1,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0042,M01,NS_3,Cutting,10.52,Idle,No,3.71,73.9,0.98,0
T0043,M04,NS_3,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0044,M02,NS_1,Welding,10.52,Overloaded,No,3.71,73.9,0.98,1
T0045,M02,NS_2,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0046,M01,NS_3,Welding,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0047,M02,NS_2,Welding,10.52,Active,No,3.71,73.9,0.98,1
T0048,M05,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0049,M02,NS_3,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0050,M04,NS_2,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0051,M04,NS_3,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0052,M04,NS_2,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0053,M04,NS_3,Welding,10.52,Overloaded,No,3.71,73.9,0.98,0
T0054,M05,NS_1,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0055,M03,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,0
T0056,M01,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0057,M04,NS_3,Cutting,10.52,Active,No,3.71,73.9,0.98,1
T0058,M02,NS_3,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0059,M04,NS_2,Cutting,10.52,Active,No,3.71,73.9,0.98,1
T0060,M02,NS_1,Drilling,10.52,Active,No,3.71,73.9,0.98,1
T0061,M02,NS_3,Assembling,10.52,Idle,No,3.71,73.9,0.98,1
T0062,M04,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0063,M05,NS_1,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0064,M02,NS_1,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,0
T0065,M02,NS_1,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0066,M04,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0067,M02,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0068,M02,NS_3,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0069,M04,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0070,M04,NS_2,Welding,10.52,Overloaded,No,3.71,73.9,0.98,0
T0071,M01,NS_2,Cutting,10.52,Idle,No,3.71,73.9,0.98,1
T0072,M05,NS_1,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0073,M05,NS_1,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0074,M02,NS_3,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0075,M05,NS_1,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0076,M02,NS_1,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,0
T0077,M01,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0078,M04,NS_2,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0079,M04,NS_2,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,0
T0080,M04,NS_3,Assembling,10.52,Idle,No,3.71,73.9,0.98,1
T0081,M05,NS_1,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0082,M01,NS_1,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0083,M05,NS_3,Assembling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0084,M05,NS_1,Welding,10.52,Active,Yes,3.71,73.9,0.98,0
T0085,M01,NS_1,Welding,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0086,M01,NS_2,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,0
T0087,M01,NS_3,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0088,M01,NS_3,Assembling,10.52,Active,Yes,3.71,73.9,0.98,0
T0089,M04,NS_3,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0090,M03,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0091,M03,NS_2,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0092,M01,NS_2,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0093,M03,NS_1,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0094,M03,NS_1,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0095,M01,NS_1,Cutting,10.52,Idle,No,3.71,73.9,0.98,1
T0096,M03,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0097,M05,NS_2,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0098,M02,NS_3,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0099,M02,NS_2,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0100,M01,NS_1,Welding,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0101,M04,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0102,M01,NS_3,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0103,M04,NS_3,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,0
T0104,M02,NS_2,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,0
T0105,M01,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0106,M05,NS_2,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0107,M03,NS_1,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,0
T0108,M04,NS_2,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0109,M03,NS_2,Welding,10.52,Idle,No,3.71,73.9,0.98,1
T0110,M03,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0111,M01,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0112,M03,NS_3,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,0
T0113,M05,NS_1,Assembling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0114,M03,NS_1,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0115,M01,NS_3,Cutting,10.52,Active,No,3.71,73.9,0.98,1
T0116,M05,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0117,M02,NS_3,Assembling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0118,M03,NS_2,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0119,M01,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0120,M02,NS_3,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0121,M02,NS_2,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0122,M04,NS_2,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0123,M05,NS_1,Cutting,10.52,Active,Yes,3.71,73.9,0.98,0
T0124,M03,NS_3,Cutting,10.52,Active,Yes,3.71,73.9,0.98,0
T0125,M01,NS_3,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0126,M04,NS_2,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0127,M05,NS_3,Cutting,10.52,Active,Yes,3.71,73.9,0.98,1
T0128,M04,NS_1,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0129,M05,NS_1,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0130,M05,NS_1,Assembling,10.52,Idle,No,3.71,73.9,0.98,1
T0131,M03,NS_3,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0132,M05,NS_3,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0133,M04,NS_3,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,0
T0134,M05,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0135,M03,NS_3,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0136,M03,NS_1,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0137,M04,NS_2,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0138,M02,NS_1,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0139,M02,NS_3,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0140,M05,NS_1,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,0
T0141,M01,NS_3,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0142,M05,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0143,M04,NS_1,Welding,10.52,Idle,No,3.71,73.9,0.98,0
T0144,M04,NS_3,Cutting,10.52,Idle,No,3.71,73.9,0.98,0
T0145,M04,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0146,M04,NS_3,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,0
T0147,M04,NS_2,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0148,M03,NS_2,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0149,M02,NS_3,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0150,M04,NS_1,Drilling,10.52,Active,No,3.71,73.9,0.98,1
T0151,M01,NS_2,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0152,M01,NS_1,Welding,10.52,Active,No,3.71,73.9,0.98,1
T0153,M01,NS_2,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,0
T0154,M01,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0155,M03,NS_3,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0156,M01,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0157,M04,NS_3,Cutting,10.52,Idle,No,3.71,73.9,0.98,1
T0158,M05,NS_2,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0159,M01,NS_3,Assembling,10.52,Maintenance,Yes,3.71,73.9,0.98,0
T0160,M03,NS_1,Welding,10.52,Active,No,3.71,73.9,0.98,0
T0161,M03,NS_3,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0162,M01,NS_1,Welding,10.52,Overloaded,No,3.71,73.9,0.98,1
T0163,M05,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,0
T0164,M01,NS_1,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0165,M03,NS_3,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0166,M02,NS_1,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0167,M04,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0168,M03,NS_2,Welding,10.52,Active,Yes,3.71,73.9,0.98,0
T0169,M01,NS_1,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0170,M04,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0171,M01,NS_1,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,1
T0172,M01,NS_3,Cutting,10.52,Active,Yes,3.71,73.9,0.98,1
T0173,M02,NS_2,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,0
T0174,M04,NS_3,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0175,M04,NS_2,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0176,M02,NS_3,Cutting,10.52,Active,No,3.71,73.9,0.98,1
T0177,M03,NS_3,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0178,M01,NS_3,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,1
T0179,M05,NS_1,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0180,M01,NS_1,Cutting,10.52,Active,Yes,3.71,73.9,0.98,1
T0181,M01,NS_2,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0182,M03,NS_2,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0183,M01,NS_1,Welding,10.52,Active,No,3.71,73.9,0.98,1
T0184,M02,NS_2,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0185,M02,NS_1,Welding,10.52,Idle,No,3.71,73.9,0.98,0
T0186,M04,NS_3,Assembling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0187,M05,NS_2,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0188,M01,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0189,M01,NS_1,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0190,M03,NS_2,Welding,10.52,Overloaded,No,3.71,73.9,0.98,1
T0191,M02,NS_2,Cutting,10.52,Idle,No,3.71,73.9,0.98,1
T0192,M05,NS_3,Welding,10.52,Active,No,3.71,73.9,0.98,1
T0193,M04,NS_2,Drilling,10.52,Active,No,3.71,73.9,0.98,1
T0194,M02,NS_3,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0195,M04,NS_1,Assembling,10.52,Idle,No,3.71,73.9,0.98,1
T0196,M03,NS_2,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0197,M03,NS_3,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0198,M01,NS_1,Cutting,10.52,Idle,No,3.71,73.9,0.98,1
T0199,M05,NS_2,Cutting,10.52,Active,Yes,3.71,73.9,0.98,1
T0200,M04,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0201,M02,NS_2,Cutting,10.52,Active,No,3.71,73.9,0.98,1
T0202,M03,NS_1,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0203,M01,NS_1,Welding,10.52,Idle,Yes,3.71,73.9,0.98,0
T0204,M01,NS_3,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0205,M04,NS_1,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0206,M03,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0207,M05,NS_2,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,0
T0208,M03,NS_3,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0209,M04,NS_2,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0210,M04,NS_2,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,0
T0211,M03,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0212,M04,NS_1,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0213,M03,NS_1,Welding,10.52,Active,No,3.71,73.9,0.98,0
T0214,M02,NS_2,Drilling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0215,M03,NS_3,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0216,M03,NS_1,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0217,M04,NS_3,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0218,M04,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0219,M01,NS_2,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,0
T0220,M01,NS_1,Drilling,10.52,Idle,No,3.71,73.9,0.98,0
T0221,M02,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,0
T0222,M01,NS_1,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0223,M03,NS_2,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0224,M04,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0225,M01,NS_1,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0226,M01,NS_1,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0227,M02,NS_1,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0228,M02,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0229,M03,NS_2,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0230,M04,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0231,M02,NS_1,Welding,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0232,M01,NS_2,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0233,M04,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0234,M04,NS_1,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,1
T0235,M01,NS_3,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0236,M02,NS_1,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0237,M01,NS_3,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0238,M04,NS_2,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0239,M05,NS_3,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0240,M05,NS_2,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0241,M03,NS_1,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0242,M01,NS_1,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0243,M01,NS_1,Cutting,10.52,Active,Yes,3.71,73.9,0.98,1
T0244,M03,NS_3,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,0
T0245,M03,NS_2,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0246,M03,NS_1,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0247,M04,NS_1,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0248,M01,NS_2,Drilling,10.52,Idle,No,3.71,73.9,0.98,0
T0249,M04,NS_1,Drilling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0250,M03,NS_2,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0251,M01,NS_2,Assembling,10.52,Active,Yes,3.71,73.9,0.98,1
T0252,M04,NS_2,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0253,M04,NS_2,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,1
T0254,M03,NS_2,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0255,M01,NS_3,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0256,M03,NS_1,Cutting,10.52,Active,Yes,3.71,73.9,0.98,0
T0257,M01,NS_3,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0258,M05,NS_1,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,0
T0259,M02,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0260,M02,NS_2,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0261,M02,NS_1,Welding,10.52,Idle,Yes,3.71,73.9,0.98,0
T0262,M03,NS_1,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0263,M05,NS_3,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,0
T0264,M01,NS_3,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0265,M04,NS_1,Welding,10.52,Active,No,3.71,73.9,0.98,1
T0266,M01,NS_3,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0267,M04,NS_3,Welding,10.52,Maintenance,No,3.71,73.9,0.98,0
T0268,M01,NS_3,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0269,M05,NS_2,Cutting,10.52,Idle,No,3.71,73.9,0.98,0
T0270,M04,NS_2,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,0
T0271,M03,NS_3,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0272,M01,NS_3,Welding,10.52,Overloaded,No,3.71,73.9,0.98,1
T0273,M01,NS_2,Cutting,10.52,Active,No,3.71,73.9,0.98,1
T0274,M04,NS_2,Welding,10.52,Overloaded,No,3.71,73.9,0.98,0
T0275,M03,NS_1,Welding,10.52,Idle,No,3.71,73.9,0.98,1
T0276,M03,NS_1,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0277,M05,NS_2,Cutting,10.52,Overloaded,No,3.71,73.9,0.98,1
T0278,M03,NS_3,Drilling,10.52,Active,Yes,3.71,73.9,0.98,1
T0279,M03,NS_3,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0280,M03,NS_3,Cutting,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0281,M02,NS_3,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0282,M05,NS_1,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0283,M01,NS_2,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0284,M04,NS_3,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0285,M01,NS_1,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0286,M05,NS_3,Assembling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0287,M04,NS_2,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0288,M05,NS_1,Welding,10.52,Active,No,3.71,73.9,0.98,1
T0289,M03,NS_2,Welding,10.52,Maintenance,No,3.71,73.9,0.98,1
T0290,M04,NS_2,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0291,M03,NS_1,Cutting,10.52,Active,Yes,3.71,73.9,0.98,0
T0292,M01,NS_1,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0293,M01,NS_1,Welding,10.52,Overloaded,No,3.71,73.9,0.98,1
T0294,M04,NS_1,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0295,M04,NS_1,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0296,M05,NS_1,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0297,M05,NS_1,Drilling,10.52,Maintenance,No,3.71,73.9,0.98,0
T0298,M03,NS_3,Assembling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0299,M04,NS_2,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,0
T0300,M01,NS_1,Drilling,10.52,Idle,Yes,3.71,73.9,0.98,1
T0301,M05,NS_3,Assembling,10.52,Idle,No,3.71,73.9,0.98,0
T0302,M05,NS_3,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0303,M01,NS_3,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0304,M05,NS_2,Welding,10.52,Idle,Yes,3.71,73.9,0.98,1
T0305,M03,NS_1,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0306,M04,NS_3,Cutting,10.52,Idle,Yes,3.71,73.9,0.98,1
T0307,M01,NS_2,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0308,M04,NS_2,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0309,M05,NS_2,Drilling,10.52,Overloaded,No,3.71,73.9,0.98,0
T0310,M05,NS_3,Assembling,10.52,Active,No,3.71,73.9,0.98,1
T0311,M01,NS_1,Welding,10.52,Overloaded,No,3.71,73.9,0.98,0
T0312,M03,NS_3,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0313,M02,NS_3,Drilling,10.52,Idle,No,3.71,73.9,0.98,1
T0314,M01,NS_1,Assembling,10.52,Overloaded,Yes,3.71,73.9,0.98,1
T0315,M02,NS_1,Cutting,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0316,M02,NS_1,Assembling,10.52,Idle,No,3.71,73.9,0.98,1
T0317,M03,NS_2,Drilling,10.52,Active,No,3.71,73.9,0.98,0
T0318,M02,NS_1,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0319,M02,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0320,M03,NS_1,Assembling,10.52,Overloaded,No,3.71,73.9,0.98,1
T0321,M02,NS_3,Welding,10.52,Maintenance,Yes,3.71,73.9,0.98,1
T0322,M02,NS_2,Cutting,10.52,Maintenance,No,3.71,73.9,0.98,1
T0323,M02,NS_3,Welding,10.52,Active,Yes,3.71,73.9,0.98,1
T0324,M01,NS_3,Assembling,10.52,Maintenance,No,3.71,73.9,0.98,1
T0325,M01,NS_1,Drilling,10.52,Maintenance,Yes,3.71,73.9,0.98,1
